country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",17-04-2026 19:00,14.675886,77.593027,PM2.5,56,305,94
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",17-04-2026 19:00,14.675886,77.593027,NH3,5,7,5
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",17-04-2026 19:00,14.675886,77.593027,SO2,7,17,14
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",17-04-2026 19:00,30.751462,76.762879,CO,6,43,14
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",17-04-2026 19:00,30.719859,76.738637,PM2.5,27,180,78
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",17-04-2026 19:00,30.719859,76.738637,CO,16,137,55
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",17-04-2026 19:00,21.194815,81.31477,NO2,5,53,23
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",17-04-2026 19:00,21.194815,81.31477,SO2,14,39,24
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",17-04-2026 19:00,21.224231,81.40835,PM2.5,21,84,46
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",17-04-2026 19:00,22.08815,82.13737,PM10,29,124,80
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",17-04-2026 19:00,22.118125,83.140608,PM10,57,102,75
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",17-04-2026 19:00,28.594169,77.1251,PM2.5,31,102,58
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",17-04-2026 19:00,28.594169,77.1251,PM10,129,306,194
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",17-04-2026 19:00,28.594169,77.1251,OZONE,4,54,32
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",17-04-2026 19:00,28.656756,77.227234,NO2,53,276,149
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",17-04-2026 19:00,28.656756,77.227234,NH3,8,36,20
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",17-04-2026 19:00,28.615828,77.271992,NO2,29,174,111
India,Delhi,Delhi,"DTU, Delhi - CPCB",17-04-2026 19:00,28.7500499,77.1112615,CO,26,112,67
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",17-04-2026 19:00,28.498571,77.26484,SO2,16,48,30
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",17-04-2026 19:00,22.368195,82.746431,CO,12,54,16
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",17-04-2026 19:00,22.12665,83.483212,PM2.5,18,52,36
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",17-04-2026 19:00,22.12665,83.483212,SO2,11,29,16
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",17-04-2026 19:00,22.12665,83.483212,CO,22,46,34
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",17-04-2026 19:00,22.1910172,83.5197009,NO2,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",17-04-2026 19:00,22.1910172,83.5197009,SO2,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",17-04-2026 19:00,22.1910172,83.5197009,OZONE,35,134,99
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",17-04-2026 19:00,21.258815,81.578979,NO2,24,48,33
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",17-04-2026 19:00,21.258815,81.578979,NH3,3,4,3
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",17-04-2026 19:00,25.892357,86.590325,NO2,2,9,6
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",17-04-2026 19:00,24.952822,84.002396,PM10,58,135,95
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",17-04-2026 19:00,24.952822,84.002396,OZONE,15,58,19
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",17-04-2026 19:00,26.2271665,84.3570427,NO2,2,2,2
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",17-04-2026 19:00,26.2271665,84.3570427,OZONE,8,15,10
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",17-04-2026 19:00,30.735567,76.775714,PM2.5,25,117,58
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",17-04-2026 19:00,30.735567,76.775714,NO2,8,44,22
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",17-04-2026 19:00,30.735567,76.775714,OZONE,3,75,46
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",17-04-2026 19:00,21.219665,81.630094,PM10,59,103,81
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",17-04-2026 19:00,21.371751,81.664929,CO,17,26,17
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",17-04-2026 19:00,22.06631475,83.33820077,PM2.5,33,65,50
India,Delhi,Delhi,"Alipur, Delhi - DPCC",17-04-2026 19:00,28.815329,77.15301,PM2.5,68,414,237
India,Delhi,Delhi,"Alipur, Delhi - DPCC",17-04-2026 19:00,28.815329,77.15301,NO2,28,107,57
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",17-04-2026 19:00,28.493624,77.201159,SO2,7,24,18
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",17-04-2026 19:00,28.6811736,77.3025234,PM2.5,65,346,242
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",17-04-2026 19:00,28.6811736,77.3025234,PM10,110,317,212
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",17-04-2026 19:00,28.54246,77.191651,NO2,32,133,78
